date,open,close,high,low,volume,amount,up,down
1990-12-19,96.05,99.98,99.98,95.79,103200,494000,8,0
1990-12-20,104.3,104.39,104.39,99.98,3276850,84000,3,0
1990-12-21,109.07,109.13,109.13,103.73,0.00000000000000000000000000000000000058774717541114375,16000,5,0
1990-12-24,113.57,114.55,114.55,109.13,0.00000000000000000000000000000000000058774717541114375,31000,6,0
1990-12-25,120.09,120.25,120.25,114.55,0.00000000000000000000000000000000000058774717541114375,6000,5,0
1990-12-26,125.27,125.27,125.27,120.25,3276850,53000,3,0
1990-12-27,125.27,125.28,125.28,125.27,0.00000000000000000000000000000000000058774717541114375,104000,1,0
1990-12-28,126.39,126.45,126.45,125.28,3276850,88000,5,0
1990-12-31,126.56,127.61,127.61,126.48,0.00000000000000000000000000000000000058774717541114375,60000,5,0
1991-01-02,127.61,128.84,128.84,127.61,0.00000000000000000000000000000000000058774717541114375,59000,6,0
1991-01-03,128.84,130.14,130.14,128.84,3276850,93000,5,0
1991-01-04,131.27,131.44,131.44,130.14,819400,261000,5,0
1991-01-07,131.99,132.06,132.06,131.45,200,141000,5,0
1991-01-08,132.62,132.68,132.68,132.06,2900,1806000,6,0
1991-01-09,133.3,133.34,133.34,132.68,41600,3228000,5,0
1991-01-10,133.93,133.97,133.97,133.34,9900,5399000,4,1
1991-01-11,134.61,134.6,134.61,134.51,13300,7115000,6,1
1991-01-14,134.11,134.67,135.19,134.11,12500,6883000,4,1
1991-01-15,134.21,134.74,134.74,134.19,154400,1010000,3,0
1991-01-16,134.19,134.24,134.74,134.14,500,270000,3,1
1991-01-17,133.67,134.25,134.25,133.65,600,334000,2,2
1991-01-18,133.7,134.24,134.25,133.67,3000,1570000,2,3
1991-01-21,133.7,134.24,134.24,133.66,2000,1029000,2,1
1991-01-22,133.72,133.72,134.24,133.66,409800,180000,3,2
1991-01-23,133.17,133.17,133.72,133.14,52000,575000,2,4
1991-01-24,132.61,132.61,133.17,132.57,1800,917000,2,4
1991-01-25,132.05,132.05,132.07,132.03,6400,1722000,2,4
1991-01-28,131.46,131.46,131.55,131.46,33600,2565000,1,3
1991-01-29,130.95,130.95,130.97,130.95,128800,710000,2,3
1991-01-30,130.44,130.44,130.95,130.41,500,260000,3,3
1991-01-31,129.93,129.97,130.46,129.93,500,244000,2,3
1991-02-01,129.5,129.51,129.97,129.45,409800,140000,2,1
1991-02-04,129.05,129.05,129.58,129.05,500,273000,2,2
1991-02-05,128.56,128.58,128.58,128.53,8500,4250000,2,3
1991-02-06,129.13,129.14,129.15,128.06,6600,3847000,4,1
1991-02-07,129.74,129.79,129.79,129.14,2100,1504000,6,0
1991-02-08,130.36,130.38,130.39,129.79,103200,879000,4,0
1991-02-11,130.92,130.97,130.97,130.39,9300,4834000,4,1
1991-02-12,131.54,131.35,131.56,130.97,11200,1986000,4,1
1991-02-13,131.93,131.92,131.93,131.35,77600,673000,4,1
1991-02-14,132.53,132.53,132.53,132.3,9600,1883000,4,1
1991-02-19,133.12,133.13,133.14,133.08,1700,1216000,3,1
1991-02-20,133.63,133.67,133.67,133.13,800,520000,4,1
1991-02-21,134.24,134.28,134.28,133.67,3200,1771000,5,1
1991-02-22,134.85,134.87,134.87,134.28,6400,2003000,5,1
1991-02-25,134.37,134.4,134.87,134.33,800,621000,3,2
1991-02-26,133.9,133.93,134.44,133.9,52000,2545000,3,2
1991-02-27,133.44,133.47,133.98,133.44,200,141000,4,1
1991-02-28,132.99,133.01,133.52,132.98,2200,1187000,4,1
1991-03-01,132.53,132.53,132.53,132.47,7100,3777000,3,1
1991-03-04,132.09,131.99,132.09,131.98,2500,1418000,3,3
1991-03-05,131.42,131.46,131.99,131.41,26400,934000,2,3
1991-03-06,130.89,130.94,130.95,130.89,700,1345000,3,3
1991-03-07,130.41,130.41,130.94,130.41,500,427000,1,4
1991-03-08,129.84,129.89,130.41,129.84,26400,541000,1,4
1991-03-11,129.3,129.31,129.89,129.3,500,299000,1,5
1991-03-12,128.73,128.77,129.31,128.73,26400,783000,1,3
1991-03-13,126.13,126.15,128.77,126.13,819400,418000,1,4
1991-03-14,125.61,125.63,126.15,125.61,409800,242000,2,3
1991-03-15,125.08,125.17,125.62,125.08,700,403000,3,3
1991-03-18,124.7,124.71,125.17,124.69,103200,1210000,2,4
1991-03-19,124.23,124.22,124.71,124.22,800,682000,2,4
1991-03-20,123.66,123.66,124.21,123.63,600,433000,1,5
1991-03-21,123.14,123.12,123.66,123.12,3276850,131000,1,5
1991-03-22,122.62,122.62,123.12,122.62,200,120000,0,4
1991-03-25,122.12,122.12,122.62,122.1,819400,324000,1,4
1991-03-26,121.62,121.62,122.14,121.62,77600,709000,2,3
1991-03-27,121.12,121.12,121.64,121.12,600,366000,0,4
1991-03-28,120.65,120.61,121.15,120.61,26400,505000,1,5
1991-03-29,120.16,120.19,120.61,120.11,2100,2186000,4,2
1991-04-01,120.69,120.73,120.73,119.68,11900,5666000,6,1
